瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),嚼档(%)
239,技辆,2023-01-29 20:00,2.8,,2.2,61
239,技辆,2023-01-29 21:00,2.5,,2.3,60
239,技辆,2023-01-29 22:00,1.7,,3.1,57
239,技辆,2023-01-29 23:00,.7,,2.6,53
239,技辆,2023-01-30 00:00,-.1,,3.2,48
239,技辆,2023-01-30 01:00,-1,,2.5,51
239,技辆,2023-01-30 02:00,-1.4,,1.7,52
239,技辆,2023-01-30 03:00,-2.1,,1.2,56
239,技辆,2023-01-30 04:00,-3.3,,1.2,62
239,技辆,2023-01-30 05:00,-3.8,,.8,65
239,技辆,2023-01-30 06:00,-4.6,,.2,71
239,技辆,2023-01-30 07:00,-5.5,,.6,76
239,技辆,2023-01-30 08:00,-6.2,,1.3,79
239,技辆,2023-01-30 09:00,-3.6,,.9,73
239,技辆,2023-01-30 10:00,.4,,.8,54
239,技辆,2023-01-30 11:00,1.2,,2.1,38
239,技辆,2023-01-30 12:00,2,,4.8,28
239,技辆,2023-01-30 13:00,3.2,,3.1,28
239,技辆,2023-01-30 14:00,3.4,,4.2,26
239,技辆,2023-01-30 15:00,4.3,,2.9,25
239,技辆,2023-01-30 16:00,3.6,,2.4,26
239,技辆,2023-01-30 17:00,2.6,,2.2,30
239,技辆,2023-01-30 18:00,1.7,,2.1,35
239,技辆,2023-01-30 19:00,.6,,1.6,39
239,技辆,2023-01-30 20:00,-.2,,2.1,42
239,技辆,2023-01-30 21:00,-1.7,,.4,48
239,技辆,2023-01-30 22:00,-2.4,,.7,55
239,技辆,2023-01-30 23:00,-3.3,,.4,59
239,技辆,2023-01-31 00:00,-3.6,,0,62
